step,loss,lr,wall_s
100,0.142,1.5e-05,197.57313749892637
200,0.117,4.5e-05,368.7175110930111
300,0.101,7.5e-05,542.0343036118429
400,0.094,9.8e-05,723.8849779870361
500,0.092,0.0001,899.5401239718776
600,0.089,9.9e-05,1072.8139563628938
700,0.087,9.9e-05,1247.9927665258292
800,0.086,9.9e-05,1422.0134582680184
900,0.085,9.8e-05,1595.8018212849274
1000,0.084,9.8e-05,1768.1485474759247
1000,0.082,9.7e-05,1939.9572547778953
1000,0.081,9.7e-05,2116.5944677779917
1000,0.08,9.6e-05,2288.8578614399303
1000,0.079,9.6e-05,2463.318192357896
2000,0.079,9.5e-05,2636.390067563858
2000,0.078,9.4e-05,2812.900780371856
2000,0.078,9.4e-05,2985.792539404938
2000,0.076,9.3e-05,3159.243583390955
2000,0.075,9.2e-05,3329.38770045992
2000,0.075,9.1e-05,3512.750515441876
2000,0.074,9e-05,3684.715027794009
2000,0.073,8.9e-05,3858.926604692824
2000,0.074,8.8e-05,4038.5116112509277
2000,0.073,8.7e-05,4213.577851710841
2000,0.072,8.6e-05,4387.3790635110345
3000,0.071,8.5e-05,4562.408449420938
3000,0.071,8.4e-05,4743.03508762992
3000,0.07,8.3e-05,4916.876906672958
3000,0.07,8.2e-05,5089.968758641975
3000,0.069,8.1e-05,5262.166424309835
3000,0.068,7.9e-05,5437.33824111498
3000,0.068,7.8e-05,5613.37211143598
3000,0.067,7.7e-05,5787.354017985985
3000,0.067,7.5e-05,5963.33706020494
4000,0.067,7.4e-05,6142.188843681011
4000,0.066,7.3e-05,6318.883053483907
4000,0.065,7.1e-05,6490.949610543903
4000,0.065,7e-05,6660.04678005795
4000,0.065,6.8e-05,6841.7009799168445
4000,0.064,6.7e-05,7008.532252185978
4000,0.064,6.6e-05,7174.498355536023
4000,0.064,6.4e-05,7348.0583251579665
4000,0.063,6.3e-05,7525.880103047937
4000,0.064,6.1e-05,7698.550837593852
4000,0.063,6e-05,7867.565868570004
5000,0.063,5.8e-05,8040.6409648808185
5000,0.062,5.7e-05,8215.524909154978
5000,0.062,5.5e-05,8389.54493793589
5000,0.061,5.4e-05,8559.212127632927
5000,0.062,5.2e-05,8731.240060938988
5000,0.061,5e-05,8904.192192985909
5000,0.06,4.9e-05,9075.968171712011
5000,0.061,4.7e-05,9248.926368847024
5000,0.06,4.6e-05,9423.501395575935
6000,0.06,4.4e-05,9594.445218574023
6000,0.06,4.3e-05,9765.309545120923
6000,0.06,4.1e-05,9939.862921542954
6000,0.06,4e-05,10122.429977983003
6000,0.059,3.8e-05,10298.642059494043
6000,0.059,3.7e-05,10463.734069928993
6000,0.058,3.5e-05,10641.189114304958
6000,0.059,3.4e-05,10817.532994825859
6000,0.059,3.3e-05,10992.071086705895
6000,0.059,3.1e-05,11166.415819058893
6000,0.058,3e-05,11341.843855393818
7000,0.059,2.8e-05,11512.68710439885
7000,0.058,2.7e-05,11685.34889452788
7000,0.059,2.6e-05,11858.217533286894
7000,0.058,2.4e-05,12040.15938346088
7000,0.058,2.3e-05,12210.263017658843
7000,0.057,2.2e-05,12384.09635958285
7000,0.057,2.1e-05,12554.934111180017
7000,0.057,2e-05,12732.45678927796
7000,0.058,1.8e-05,12904.874940971844
8000,0.057,1.7e-05,13077.057129441993
8000,0.057,1.6e-05,13252.834862611955
8000,0.056,1.5e-05,13430.05016285088
8000,0.057,1.4e-05,13602.138988805003
8000,0.057,1.3e-05,13775.576557447901
8000,0.057,1.2e-05,13949.677850992884
8000,0.056,1.1e-05,14116.456266922876
8000,0.056,1.1e-05,14291.242217306979
8000,0.056,9.7e-06,14463.545665744925
8000,0.056,8.9e-06,14643.41895938199
8000,0.056,8.2e-06,14815.162129160017
9000,0.056,7.5e-06,14988.259296625853
9000,0.057,6.8e-06,15159.599785842001
9000,0.057,6.2e-06,15335.795285923872
9000,0.056,5.6e-06,15515.300077976892
9000,0.057,5.1e-06,15692.165231465828
9000,0.056,4.7e-06,15867.846808996983
9000,0.056,4.2e-06,16045.433434166014
9000,0.056,3.8e-06,16220.45901980903
9000,0.056,3.5e-06,16394.49180939584
10000,0.056,3.2e-06,16567.997925028903
10000,0.056,3e-06,16747.63113689795
10000,0.056,2.8e-06,16922.49409643188
10000,0.056,2.7e-06,17095.281300009927
10000,0.056,2.6e-06,17275.105867672013
10000,0.056,2.5e-06,17442.65007181
